GEO_ID,NAME,S2704_C03_001E
id,Geographic Area Name,Civilian noninstitutionalized
0400000US02,Alaska,34.6
0400000US23,Maine,37.3
0400000US37,North Carolina,34.7
0400000US29,Missouri,32.7
0400000US42,Pennsylvania,37.4
0400000US26,Michigan,39.1
0400000US31,Nebraska,28.8
0400000US41,Oregon,39.2
0400000US56,Wyoming,27.3
0400000US06,California,38.4
0400000US28,Mississippi,38.9
0400000US09,Connecticut,35.8
0400000US48,Texas,29
0400000US16,Idaho,32.5
0400000US24,Maryland,33.3
0400000US35,New Mexico,49.4
0400000US01,Alabama,37.2
0400000US47,Tennessee,37.1
0400000US50,Vermont,40.6
0400000US32,Nevada,34.9
0400000US54,West Virginia,47.1
0400000US40,Oklahoma,34.6
0400000US55,Wisconsin,33
0400000US72,Puerto Rico,61.9
0400000US20,Kansas,29.8
0400000US51,Virginia,28.6
0400000US38,North Dakota,26.5
0400000US34,New Jersey,31.2
0400000US39,Ohio,37.5
0400000US45,South Carolina,37.8
0400000US13,Georgia,31.2
0400000US08,Colorado,32.7
0400000US15,Hawaii,35.2
0400000US46,South Dakota,30.4
0400000US18,Indiana,33.8
0400000US21,Kentucky,43.5
0400000US22,Louisiana,44.4
0400000US53,Washington,35.9
0400000US17,Illinois,33.9
0400000US19,Iowa,35.4
0400000US33,New Hampshire,32.3
0400000US44,Rhode Island,38.7
0400000US05,Arkansas,44.2
0400000US10,Delaware,39.8
0400000US27,Minnesota,33.2
0400000US30,Montana,40.2
0400000US04,Arizona,39.3
0400000US12,Florida,37.1
0400000US25,Massachusetts,36.6
0400000US11,District of Columbia,35.8
0400000US49,Utah,21.3
0400000US36,New York,39.9
